System Time: 2025-03-04 00:22:25,678 - Event: Machine 2 initialized with clock rate: 1 ticks/second
System Time: 2025-03-04 00:22:26,686 - Event: Machine 2 accepted connection from Machine 1
System Time: 2025-03-04 00:23:14,222 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 26 | Local Clock: 175, Sender Clock: 175, New Clock: 176 (Drift: 0)
System Time: 2025-03-04 00:23:15,246 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 28 | Local Clock: 176, Sender Clock: 178, New Clock: 179 (Drift: 2)
System Time: 2025-03-04 00:23:16,277 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 30 | Local Clock: 179, Sender Clock: 189, New Clock: 190 (Drift: 10)
System Time: 2025-03-04 00:23:17,313 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 31 | Local Clock: 190, Sender Clock: 191, New Clock: 192 (Drift: 1)
System Time: 2025-03-04 00:23:18,354 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 34 | Local Clock: 192, Sender Clock: 192, New Clock: 193 (Drift: 0)
System Time: 2025-03-04 00:23:19,395 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 35 | Local Clock: 193, Sender Clock: 205, New Clock: 206 (Drift: 12)
System Time: 2025-03-04 00:23:20,428 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 37 | Local Clock: 206, Sender Clock: 208, New Clock: 209 (Drift: 2)
System Time: 2025-03-04 00:23:21,468 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 38 | Local Clock: 209, Sender Clock: 211, New Clock: 212 (Drift: 2)
System Time: 2025-03-04 00:23:22,503 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 40 | Local Clock: 212, Sender Clock: 213, New Clock: 214 (Drift: 1)
System Time: 2025-03-04 00:23:23,537 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 39 | Local Clock: 214, Sender Clock: 223, New Clock: 224 (Drift: 9)
System Time: 2025-03-04 00:23:24,568 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 39 | Local Clock: 224, Sender Clock: 222, New Clock: 225 (Drift: 0)
